participant,session,block_number,trial_number,trial_in_block_num,trial_type,triplet_type,sequence_used,stimulus_position_num,rt_non_cumulative_s,rt_cumulative_s,correct_key_pressed,response_key_pressed,correct_response,is_nogo,is_practice,epoch,is_first_response,mind_wandering_rating_1,mind_wandering_rating_2,mind_wandering_rating_3,mind_wandering_rating_4
0001,1,2,89,9,R,R,"1,2,3,4",4,0.3235439000000042,0.3235439000000042,l,l,True,False,False,1,1,3,4,2,1
0001,1,2,90,10,P,H,"1,2,3,4",1,0.3973473999994894,0.3973473999994894,s,s,True,False,False,1,1,3,4,2,1
0001,1,2,91,11,R,L,"1,2,3,4",3,0.3832715999997163,0.3832715999997163,j,j,True,False,False,1,1,3,4,2,1
0001,1,2,92,12,P,H,"1,2,3,4",2,0.3754718000000139,0.3754718000000139,f,f,True,False,False,1,1,3,4,2,1
0001,1,2,93,13,R,L,"1,2,3,4",1,0.3274262999984785,0.3274262999984785,s,s,True,False,False,1,1,3,4,2,1
0001,1,2,94,14,P,H,"1,2,3,4",3,0.3446358000001055,0.3446358000001055,j,j,True,False,False,1,1,3,4,2,1
0001,1,2,95,15,R,L,"1,2,3,4",4,0.5094257000000653,0.5094257000000653,l,l,True,False,False,1,1,3,4,2,1
0001,1,2,96,16,P,H,"1,2,3,4",4,0.290849299999536,0.290849299999536,l,l,True,False,False,1,1,3,4,2,1
0001,1,2,97,17,R,H,"1,2,3,4",1,0.40952800000013667,0.40952800000013667,s,s,True,False,False,1,1,3,4,2,1
0001,1,2,98,18,P,H,"1,2,3,4",1,0.268411199998809,0.268411199998809,s,s,True,False,False,1,1,3,4,2,1
0001,1,2,99,19,R,H,"1,2,3,4",2,0.31931209999856947,0.31931209999856947,f,f,True,False,False,1,1,3,4,2,1
0001,1,2,100,20,P,H,"1,2,3,4",2,0.31009069999890926,0.31009069999890926,f,f,True,False,False,1,1,3,4,2,1
0001,1,2,101,21,R,L,"1,2,3,4",4,0.3113542999999481,0.3113542999999481,l,j,False,False,False,1,1,3,4,2,1
0001,1,2,101,21,R,L,"1,2,3,4",4,0.2617353000005096,0.5730896000004577,l,l,True,False,False,1,0,3,4,2,1
0001,1,2,102,22,P,H,"1,2,3,4",3,0.3665181999986089,0.3665181999986089,j,j,True,False,False,1,1,3,4,2,1
0001,1,2,103,23,R,L,"1,2,3,4",2,0.3047267000001739,0.3047267000001739,f,f,True,False,False,1,1,3,4,2,1
0001,1,2,104,24,P,H,"1,2,3,4",4,0.31223250000039116,0.31223250000039116,l,l,True,False,False,1,1,3,4,2,1
0001,1,2,105,25,R,H,"1,2,3,4",3,0.3800931000005221,0.3800931000005221,j,j,True,False,False,1,1,3,4,2,1
0001,1,2,106,26,P,H,"1,2,3,4",1,0.43377959999997984,0.43377959999997984,s,s,True,False,False,1,1,3,4,2,1
0001,1,2,107,27,R,T,"1,2,3,4",3,0.3697463999997126,0.3697463999997126,j,j,True,False,False,1,1,3,4,2,1
0001,1,2,108,28,P,H,"1,2,3,4",2,0.32219809999878635,0.32219809999878635,f,f,True,False,False,1,1,3,4,2,1
0001,1,2,109,29,R,T,"1,2,3,4",3,0.37587320000056934,0.37587320000056934,j,l,False,False,False,1,1,3,4,2,1
0001,1,2,109,29,R,T,"1,2,3,4",3,0.2398005999984889,0.6156737999990582,j,j,True,False,False,1,0,3,4,2,1
0001,1,2,110,30,P,H,"1,2,3,4",3,0.37893679999979213,0.37893679999979213,j,j,True,False,False,1,1,3,4,2,1
0001,1,2,111,31,R,L,"1,2,3,4",2,0.49083129999962694,0.49083129999962694,f,f,True,False,False,1,1,3,4,2,1
0001,1,2,112,32,P,H,"1,2,3,4",4,0.3867699000002176,0.3867699000002176,l,l,True,False,False,1,1,3,4,2,1
0001,1,2,113,33,R,L,"1,2,3,4",1,0.36473389999991923,0.36473389999991923,s,s,True,False,False,1,1,3,4,2,1
0001,1,2,114,34,P,H,"1,2,3,4",1,0.2607287999999244,0.2607287999999244,s,s,True,False,False,1,1,3,4,2,1
0001,1,2,115,35,R,H,"1,2,3,4",2,0.35042260000045644,0.35042260000045644,f,f,True,False,False,1,1,3,4,2,1
0001,1,2,116,36,P,H,"1,2,3,4",2,0.26624770000125864,0.26624770000125864,f,f,True,False,False,1,1,3,4,2,1
0001,1,2,117,37,R,L,"1,2,3,4",1,0.5138148999994883,0.5138148999994883,s,s,True,False,False,1,1,3,4,2,1
0001,1,2,118,38,P,H,"1,2,3,4",3,0.42265450000013516,0.42265450000013516,j,j,True,False,False,1,1,3,4,2,1
